time,target,error,control_output,wiops_output
1731078000410368284,50,50,264239,264239
1731078000510368362,50,-1.0399601888310528,23297,23297
1731078000610368330,50,12.279987929596139,93091,93091
1731078000710368448,50,4.440053760736561,56173,56173
1731078000810368676,50,-0.9198839026647079,30404,30404
1731078000910368824,50,5.0800664815016034,61583,61583
1731078001010368912,50,-2.879953465640952,22441,22441
1731078001110369050,50,9.3600560831226,85469,85469
1731078001210369138,50,2.8000415359634445,54578,54578
1731078001310369136,50,0.7999990159999726,45160,45160
1731078001410369134,50,0.7999990159999726,45160,45160
1731078001510369192,50,0.8400285127834621,45349,45349
1731078001610369350,50,0.16007874707558045,42147,42147
1731078001710369367,50,1.000008329998586,46102,46102
1731078001810369435,50,2.9600319871782474,55331,55331
1731078001910369714,50,0.20013894161235157,42335,42335
1731078002010369912,50,-0.9998990201999405,36109,36109
1731078002110369799,50,0.47994404233676846,43077,43077
1731078002210369968,50,0.4800836886585671,43078,43078
1731078002310370106,50,0.8000678959063023,44585,44585
1731078002410370194,50,0.6000434719617402,43643,43643
1731078002510370422,50,1.040111628545482,45715,45715
1731078002610370450,50,3.000013159996314,54944,54944
1731078002710370708,50,-0.7198691427376076,37013,37013
1731078002810370956,50,4.360113186919293,60934,60934
1731078002910371194,50,-2.7998743362990837,25606,25606
1731078003010371232,50,6.680016461593738,74093,74093
1731078003110371541,50,4.680140038367284,64675,64675
1731078003210371769,50,-1.3598828994669958,35450,35450
1731078003310371927,50,0.12007881027547995,42419,42419
1731078003410371854,50,1.1599643467739753,47316,47316
1731078003510371942,50,0.8000432959618919,45621,45621
1731078003610371890,50,0.7999744159866893,45621,45621
1731078003710371978,50,0.640043436761772,44868,44868
1731078003810372186,50,0.6801025853866207,45056,45056
1731078003910372194,50,0.8000039359996833,45621,45621
1731078004010372222,50,0.9200137423961507,46186,46186
1731078004110372230,50,2.0000038399996924,51272,51272
1731078004210372468,50,1.5201153821253897,49012,49012
1731078004310372446,50,-0.8400111848024636,37415,37415
1731078004410372393,50,0.9199739875862107,45702,45702
1731078004510372371,50,4.679990029597803,63408,63408
1731078004610372399,50,3.160013115196328,56250,56250
1731078004710372357,50,-5.360023251209768,13044,13044
1731078004810372354,50,28.11999934359998,186892,186892
1731078004910372372,50,3.5600083591984912,71241,71241
1731078005010372390,50,0.4000089279983925,56360,56360
1731078005110372438,50,2.400022847989028,65778,65778
1731078005210372376,50,-0.8800315456195591,49826,49826
1731078005310372403,35,-13.91998679160357,-19593,-19593
1731078005410372361,35,34.95999998319999,230710,230710
1731078005510372379,35,-6.159992591201338,33532,33532
1731078005610372537,35,-20.0399130369374,-43367,-43367
1731078005710372635,35,34.92000007839992,235543,235543
1731078005810372793,35,-11.75992611931673,8959,8959
1731078005910372911,35,21.200016283980787,176373,176373
1731078006010373009,35,-12.119953822445254,12493,12493
1731078006110373287,35,17.280049261463052,160886,160886
1731078006210373546,35,-11.839878684714208,16944,16944
1731078006310373674,35,4.880038553550648,98487,98487
1731078006410373772,35,-10.559955351243758,19701,19701
1731078006510374020,35,2.04008174059728,80208,80208
1731078006610374208,35,-11.559912467364562,9510,9510
1731078006710374246,35,19.00000607999769,164355,164355
1731078006810374274,35,-12.1599867952037,10623,10623
1731078006910374502,35,17.92003894231121,162587,162587
1731078007010374530,35,-12.039986828803691,14574,14574
1731078007110374798,35,11.320063462229918,131094,131094
1731078007210374956,35,-7.919932186507147,35933,35933
1731078007310375004,35,-18.079974521612236,-22320,-22320
1731078007410375022,35,35.0,247783,247783
1731078007510375060,35,-11.319982398406694,23147,23147
1731078007610375208,35,-7.999936360094189,34174,34174
1731078007710375286,35,-11.719963558428425,9908,9908
1731078007810375223,35,16.279988206392566,151133,151133
1731078007910375171,35,-12.120024502412747,10420,10420
1731078008010375229,35,16.800010555993875,156276,156276
1731078008110375307,35,-7.239967052825698,38905,38905
1731078008210375445,35,-18.919925590502686,-26990,-26990
1731078008310375503,35,35.0,247069,247069
1731078008410375521,35,-11.719991590401513,20319,20319
